House Vote #463 2022-09-29T15:40:00 - S. 3470: End Human Trafficking in Government Contracts Act of 2022
person,state,district,vote,name,party
456813,GA,9,Yea,Rep. Andrew Clyde [R],Republican
456814,GA,14,Yea,Rep. Marjorie Taylor Greene [R],Republican
456815,HI,2,Not Voting,Rep. Kaialiʻi Kahele [D],Democrat
456816,IA,1,Yea,Rep. Ashley Hinson [R],Republican
456817,IA,2,Yea,Rep. Mariannette Miller-Meeks [R],Republican
456818,IA,4,Yea,Rep. Randy Feenstra [R],Republican
456819,IL,3,Yea,Rep. Marie Newman [D],Democrat
456820,IL,15,Yea,Rep. Mary Miller [R],Republican
456821,IN,1,Yea,Rep. Frank Mrvan [D],Democrat
456822,IN,5,Yea,Rep. Victoria Spartz [R],Republican
456823,KS,1,Yea,Rep. Tracey Mann [R],Republican
456824,KS,2,Yea,Rep. Jacob “Jake” LaTurner [R],Republican
456825,MA,4,Yea,Rep. Jake Auchincloss [D],Democrat
456826,MI,3,Yea,Rep. Peter Meijer [R],Republican
456827,MI,10,Yea,Rep. Lisa McClain [R],Republican
456828,MN,7,Yea,Rep. Michelle Fischbach [R],Republican
456829,MO,1,Yea,Rep. Cori Bush [D],Democrat
456830,MT,0,Yea,Rep. Matthew Rosendale [R],Republican
456831,NC,2,Yea,Rep. Deborah Ross [D],Democrat
456832,NC,6,Yea,Rep. Kathy Manning [D],Democrat
456833,NC,11,Yea,Rep. Madison Cawthorn [R],Republican
456834,NM,2,Yea,Rep. Yvette Herrell [R],Republican
456835,NM,3,Yea,Rep. Teresa Leger Fernandez [D],Democrat
456836,NY,2,Yea,Rep. Andrew Garbarino [R],Republican
456837,NY,11,Yea,Rep. Nicole Malliotakis [R],Republican
456838,NY,15,Yea,Rep. Ritchie Torres [D],Democrat
456839,NY,16,Yea,Rep. Jamaal Bowman [D],Democrat
456840,NY,17,Yea,Rep. Mondaire Jones [D],Democrat
456841,OK,5,Yea,Rep. Stephanie Bice [R],Republican
456842,OR,2,Yea,Rep. Cliff Bentz [R],Republican
456843,SC,1,Yea,Rep. Nancy Mace [R],Republican
456844,TN,1,Yea,Rep. Diana Harshbarger [R],Republican
456845,TX,4,Yea,Rep. Patrick “Pat” Fallon [R],Republican
456846,TX,11,Yea,Rep. August Pfluger [R],Republican
456847,TX,13,Yea,Rep. Ronny Jackson [R],Republican
456848,TX,22,Yea,Rep. Troy Nehls [R],Republican
456849,TX,23,Yea,Rep. Ernest “Tony” Gonzales [R],Republican
456850,TX,24,Yea,Rep. Beth Van Duyne [R],Republican
456851,UT,1,Yea,Rep. Blake Moore [R],Republican
456852,UT,4,Yea,Rep. Clarence “Burgess” Owens [R],Republican
456853,VA,5,Yea,Rep. Robert “Bob” Good [R],Republican
456854,WA,10,Yea,Rep. Marilyn Strickland [D],Democrat
456855,WI,5,Yea,Rep. Scott Fitzgerald [R],Republican
456859,LA,5,Yea,Rep. Julia Letlow [R],Republican
456860,LA,2,Yea,Rep. Troy Carter [D],Democrat
456861,NM,1,Yea,Rep. Melanie Stansbury [D],Democrat
456862,TX,6,Yea,Rep. Jake Ellzey [R],Republican
456863,OH,11,Yea,Rep. Shontel Brown [D],Democrat
456864,OH,15,Yea,Rep. Mike Carey [R],Republican
456865,FL,20,Yea,Rep. Sheila Cherfilus-McCormick [D],Democrat
456866,CA,22,Yea,Rep. Connie Conway [R],Republican
456867,TX,34,Yea,Rep. Mayra Flores [R],Republican
456868,NE,1,Yea,Rep. Mike Flood [R],Republican
456869,MN,1,Yea,Rep. Brad Finstad [R],Republican
456870,AK,0,Yea,Rep. Mary Peltola [D],Democrat
456871,NY,19,Yea,Rep. Patrick Ryan [D],Democrat
456872,NY,23,Yea,Rep. Joseph Sempolinski [R],Republican
